iter	Logloss
0	0.6814917157
1	0.6701863064
2	0.6617278761
3	0.6522291139
4	0.6435663942
5	0.6363779133
6	0.6279174771
7	0.6211290724
8	0.6134931047
9	0.6058603303
10	0.6007070957
11	0.5942114879
12	0.5884231108
13	0.582716822
14	0.5773331041
15	0.5716262198
16	0.5664116412
17	0.5614343618
18	0.5579107007
19	0.552836082
20	0.5491727025
21	0.5451899907
22	0.5410927845
23	0.5370430854
24	0.5333811328
25	0.5302779769
26	0.5268208743
27	0.5233537293
28	0.5203263613
29	0.5177922628
30	0.5140511459
31	0.5116861429
32	0.5091570186
33	0.5060856875
34	0.5040661881
35	0.5020834007
36	0.4995838932
37	0.4974639451
38	0.4955076353
39	0.4934628738
40	0.4910396367
41	0.4891861547
42	0.487438472
43	0.4856430827
44	0.4837254892
45	0.4818090758
46	0.4802787919
47	0.4782398037
48	0.47575125
49	0.4747420483
50	0.4733779683
51	0.4717937188
52	0.4707140458
53	0.4686953192
54	0.4671245575
55	0.4656172558
56	0.463773545
57	0.4627868432
58	0.4613018431
59	0.4599970752
60	0.4584777241
61	0.4575700795
62	0.4564100095
63	0.4551792417
64	0.4532768494
65	0.4522888782
66	0.4512726865
67	0.4498794143
68	0.4489570534
69	0.4479492489
70	0.4472423106
71	0.4461671188
72	0.4448522744
73	0.4437629984
74	0.4428524041
75	0.4418443095
76	0.4404268248
77	0.4392644284
78	0.4384112798
79	0.4376132014
80	0.43681558
81	0.4358603916
82	0.434568879
83	0.4335038939
84	0.4328197194
85	0.4322072643
86	0.431305707
87	0.4307537484
88	0.4300199461
89	0.4293277771
90	0.4286790134
91	0.4280823914
92	0.4273114528
93	0.4266133962
94	0.4261250089
95	0.4256387168
96	0.4247529906
97	0.4242001132
98	0.4236307919
99	0.4228169209
100	0.4221559137
101	0.4217002618
102	0.4211853674
103	0.4205324675
104	0.4197928037
105	0.4192054866
106	0.4187417925
107	0.4181252014
108	0.4175047411
109	0.4169527287
110	0.4157988419
111	0.4152719551
112	0.4148166306
113	0.4143378108
114	0.4140799559
115	0.4134429826
116	0.4130921135
117	0.4126220745
118	0.4118950385
119	0.4110381341
120	0.4105922099
121	0.4101012176
122	0.4096782439
123	0.4087241999
124	0.4081404556
125	0.407312132
126	0.4066791216
127	0.406334925
128	0.4056763214
129	0.4053120614
130	0.4050367267
131	0.4046893094
132	0.4043154908
133	0.4035800425
134	0.4030667184
135	0.4027189677
136	0.4024069339
137	0.4018910318
138	0.401549334
139	0.4011841507
140	0.4008535053
141	0.4005967131
142	0.4002479706
143	0.3999307796
144	0.3993861747
145	0.3991239097
146	0.3985970649
147	0.3983343155
148	0.3980100526
149	0.3978133169
150	0.3975508121
151	0.3972131561
152	0.3969483747
153	0.3966036096
154	0.3962069388
155	0.3958755198
156	0.3955346162
157	0.3949896981
158	0.3945082816
159	0.3942143092
160	0.3937028426
161	0.3934722082
162	0.3931410053
163	0.3928788967
164	0.3923991163
165	0.3919934502
166	0.3916736565
167	0.3909788478
168	0.3906628883
169	0.3902335694
170	0.3898213353
171	0.3894097608
172	0.3890918659
173	0.3888571717
174	0.3881255569
175	0.3879005216
176	0.3876969969
177	0.3872980176
178	0.3869711375
179	0.3865483266
180	0.3863217881
181	0.3861207727
182	0.385830845
183	0.3856329499
184	0.3852426497
185	0.3850029929
186	0.3846498984
187	0.3843926162
188	0.384002548
189	0.3837258503
190	0.3835408175
191	0.3832771711
192	0.3830088516
193	0.3828170597
194	0.3825026422
195	0.3822657339
196	0.38199866
197	0.3815648184
198	0.3811232072
199	0.3809225147
200	0.3805148904
201	0.380285103
202	0.3799969645
203	0.3797480954
204	0.3793784633
205	0.3791140558
206	0.3786864857
207	0.3784005647
208	0.3782433302
209	0.3780511579
210	0.377668214
211	0.3774319907
212	0.3772594439
213	0.3770807799
214	0.3769259638
215	0.3765784269
216	0.3764263305
217	0.3761137117
218	0.3759997747
219	0.3758726382
220	0.3752780028
221	0.3750950539
222	0.3749420207
223	0.3746977258
224	0.3745191933
225	0.3742536635
226	0.3738813018
227	0.3735873454
228	0.3733601963
229	0.3730355804
230	0.3728035978
231	0.3725690294
232	0.3724003048
233	0.3720625678
234	0.3719015086
235	0.3716578127
236	0.3713742139
237	0.3712378465
238	0.3710400731
239	0.3708937682
240	0.3706876859
241	0.3704769236
242	0.3703682588
243	0.3701458354
244	0.3697994696
245	0.3692707079
246	0.3691487506
247	0.369028983
248	0.368798836
249	0.368606498
250	0.368393033
251	0.3681199167
252	0.3680139085
253	0.3678708298
254	0.3675524374
255	0.3673641249
256	0.3672377155
257	0.3670458375
258	0.366937102
259	0.3667860732
260	0.3666052743
261	0.3663630767
262	0.3662031859
263	0.3660644306
264	0.3658423869
265	0.3655942686
266	0.3653899579
267	0.3652065586
268	0.3650376113
269	0.364752896
270	0.3645047138
271	0.3643366637
272	0.3640861309
273	0.3639518187
274	0.363730814
275	0.3635677521
276	0.3634251819
277	0.3632209342
278	0.3630879099
279	0.3628294788
280	0.3627187424
281	0.3625247469
282	0.3623220007
283	0.3621364812
284	0.361875723
285	0.3617056116
286	0.3615454049
287	0.3613243352
288	0.3610495794
289	0.3608928831
290	0.3607348873
291	0.3605079128
292	0.3602365382
293	0.3600972513
294	0.3599503655
295	0.3598640752
296	0.3595258882
297	0.3592819011
298	0.359166228
299	0.3590439665
300	0.3587846408
301	0.3586634996
302	0.358526879
303	0.358192732
304	0.3579928118
305	0.3577531915
306	0.3575701465
307	0.3574809591
308	0.3573997802
309	0.3572826329
310	0.3571077754
311	0.3568606959
312	0.3565441949
313	0.3563826795
314	0.3562697712
315	0.3561116141
316	0.3559573831
317	0.3556564999
318	0.3554679255
319	0.3551447901
320	0.3550409778
321	0.354782378
322	0.3546921356
323	0.3544707137
324	0.3543260012
325	0.354176184
326	0.3539226065
327	0.3538086363
328	0.3536680402
329	0.3534813394
330	0.3533619931
331	0.3532890824
332	0.3530201885
333	0.3528787005
334	0.3527073139
335	0.3525311371
336	0.3523941495
337	0.3522745484
338	0.3521320715
339	0.3516364007
340	0.3515357818
341	0.3514213795
342	0.3512514549
343	0.3511319245
344	0.3509856489
345	0.3508324438
346	0.3506886664
347	0.3503544856
348	0.3501507599
349	0.3499743779
350	0.349776793
351	0.3495638237
352	0.349455327
353	0.3493781947
354	0.3492650489
355	0.3490724974
356	0.3489568813
357	0.3487900885
358	0.3485952435
359	0.3485194502
360	0.348363534
361	0.3481659357
362	0.3480059555
363	0.3478160381
364	0.347678961
365	0.3474768886
366	0.3473587029
367	0.3472107778
368	0.3469392857
369	0.3467988838
370	0.3466973987
371	0.3465208381
372	0.3464761364
373	0.3463976824
374	0.3461627176
375	0.3459095095
376	0.345603773
377	0.345454569
378	0.3453202181
379	0.3451962386
380	0.3450675851
381	0.3448109788
382	0.3445623183
383	0.3444703624
384	0.3443018884
385	0.3440216783
386	0.3437207218
387	0.3436430615
388	0.3435112385
389	0.3434054587
390	0.3432362025
391	0.3431130833
392	0.3429994509
393	0.3428769013
394	0.3427998252
395	0.3425549917
396	0.3423345673
397	0.3420248542
398	0.3417961487
399	0.3416950889
400	0.3415245315
401	0.3413376047
402	0.3411562548
403	0.3410626668
404	0.3408890285
405	0.3405541729
406	0.3404332721
407	0.3402672348
408	0.3400849152
409	0.3399661817
410	0.3397695218
411	0.3396001608
412	0.3393982575
413	0.3391428058
414	0.3389551364
415	0.3388149174
416	0.3386588145
417	0.3384130194
418	0.3382975796
419	0.3381360701
420	0.3379954827
421	0.3379027779
422	0.3376315983
423	0.3375014826
424	0.3373676432
425	0.3372127064
426	0.3369240841
427	0.3367465556
428	0.3366045081
429	0.3362870946
430	0.3362019287
431	0.3359869985
432	0.3358004099
433	0.3356912079
434	0.3355729134
435	0.3353034327
436	0.3350816209
437	0.3349221403
438	0.3347814301
439	0.3346706042
440	0.3345588195
441	0.334473587
442	0.3343019923
443	0.3341399521
444	0.3340077365
445	0.3339232422
446	0.3338063218
447	0.3336686901
448	0.3335456816
449	0.333260902
450	0.3330974049
451	0.3328302964
452	0.3326124585
453	0.3324921449
454	0.3323070778
455	0.3321000628
456	0.3319385378
457	0.3318418795
458	0.3315441297
459	0.3313874229
460	0.3312929044
461	0.3311201316
462	0.3309920239
463	0.330803515
464	0.3306715947
465	0.3305629215
466	0.3303579581
467	0.3302469158
468	0.330146901
469	0.3300343589
470	0.3298703084
471	0.3297295403
472	0.3295408406
473	0.3294345758
474	0.329294937
475	0.3291608296
476	0.3290138274
477	0.3287774128
478	0.3286517341
479	0.3284165733
480	0.3283190786
481	0.3281516153
482	0.3279864852
483	0.3278514481
484	0.3277263306
485	0.3275036038
486	0.3273264895
487	0.3271569968
488	0.3270328738
489	0.3269607009
490	0.3267265353
491	0.3265431366
492	0.326413123
493	0.3263149741
494	0.3260942294
495	0.3260117856
496	0.3259480375
497	0.3257281615
498	0.3256174719
499	0.3253424468
500	0.3252682946
501	0.3249606791
502	0.3248361904
503	0.3246835606
504	0.3245570803
505	0.3244384036
506	0.3243276072
507	0.3241950312
508	0.3241045834
509	0.3239319261
510	0.3238343189
511	0.3236222241
512	0.3234698143
513	0.3234184374
514	0.3232505167
515	0.3231140297
516	0.3229622002
517	0.3227545943
518	0.3226760821
519	0.3225860408
520	0.322478409
521	0.3222477158
522	0.3221750892
523	0.3220183979
524	0.3217592087
525	0.3216605555
526	0.3215219543
527	0.321431181
528	0.3212336504
529	0.3210722189
530	0.3209444623
531	0.320779895
532	0.3206233208
533	0.3205045939
534	0.3203537934
535	0.3202607998
536	0.3200449258
537	0.31997612
538	0.3199023703
539	0.3197943581
540	0.319578834
541	0.3193688317
542	0.3191697912
543	0.3190847003
544	0.3189366936
545	0.3187703945
546	0.3186579102
547	0.318484695
548	0.3183088294
549	0.3181053051
550	0.3178439402
551	0.3176388117
552	0.3173949569
553	0.3172523412
554	0.3172100635
555	0.3170642874
556	0.3169699278
557	0.3167732373
558	0.3165693513
559	0.3164853308
560	0.3163386506
561	0.3162167793
562	0.3160210415
563	0.3158993932
564	0.3156713244
565	0.3155032359
566	0.3153425582
567	0.3151370925
568	0.3150130784
569	0.3148868228
570	0.3147392094
571	0.3146097318
572	0.314511302
573	0.3144164556
574	0.314336373
575	0.3141662994
576	0.313991047
577	0.3138431114
578	0.313746242
579	0.3135504924
580	0.3133918082
581	0.3133019566
582	0.3131647518
583	0.3130892609
584	0.3129322989
585	0.3127584685
586	0.3126548118
587	0.3125389886
588	0.3123829777
589	0.3121918881
590	0.3120739744
591	0.3119109283
592	0.3117599688
593	0.3115444344
594	0.311455505
595	0.3112857779
596	0.3111973794
597	0.3110889072
598	0.3109528265
599	0.3107700612
600	0.3106033635
601	0.3104858826
602	0.310427639
603	0.3103195315
604	0.3102373159
605	0.3101503857
606	0.3100769348
607	0.3099342736
608	0.30972733
609	0.3096234954
610	0.3094201937
611	0.3092409823
612	0.3091045606
613	0.3089673338
614	0.3088064916
615	0.3087436781
616	0.3086328147
617	0.3084514465
618	0.3083876419
619	0.3081748776
620	0.3080221038
621	0.3078338336
622	0.3077165014
623	0.3076088761
624	0.3074593106
625	0.3072243441
626	0.3071306514
627	0.3070034508
628	0.3068491822
629	0.3067640333
630	0.3066867353
631	0.3065188485
632	0.3063870862
633	0.3062207997
634	0.3060873415
635	0.3059226399
636	0.3058531568
637	0.3056870215
638	0.3055445854
639	0.3054046962
640	0.3051950394
641	0.3050624031
642	0.304914425
643	0.3048124403
644	0.3046271854
645	0.3044451753
646	0.3043373679
647	0.3042259638
648	0.3041634175
649	0.3039953026
650	0.3039284959
651	0.3037680144
652	0.3036761184
653	0.3034974698
654	0.3032784115
655	0.3031021353
656	0.3029501991
657	0.302812556
658	0.3026180322
659	0.3024925862
660	0.30235637
661	0.302274535
662	0.3020395728
663	0.3018413344
664	0.3017124189
665	0.30161596
666	0.3015364113
667	0.3014029865
668	0.3013469092
669	0.3012410258
670	0.301008035
671	0.3008313928
672	0.3007621793
673	0.3006297182
674	0.3005188688
675	0.3003478228
676	0.3002698406
677	0.3001889956
678	0.3000496317
679	0.2999272619
680	0.2997922983
681	0.2996582282
682	0.2996093648
683	0.2994728573
684	0.2993059118
685	0.2991662162
686	0.2989856053
687	0.2988452344
688	0.2986373117
689	0.2984176536
690	0.2982166403
691	0.2980526461
692	0.2979433539
693	0.2978779752
694	0.2977838401
695	0.2977043476
696	0.2975404272
697	0.297429823
698	0.2973052547
699	0.297187426
700	0.297066073
701	0.2969633619
702	0.2968747851
703	0.2967258511
704	0.2965890514
705	0.2964893716
706	0.2963613785
707	0.2962706108
708	0.2961558249
709	0.2960583097
710	0.2958960042
711	0.2956763631
712	0.2955176056
713	0.2954347735
714	0.2953134404
715	0.2952233352
716	0.2950564844
717	0.2949720255
718	0.2947624466
719	0.2946473483
720	0.294522264
721	0.2944063213
722	0.2942398504
723	0.2941359626
724	0.2940297044
725	0.2939381633
726	0.2937633308
727	0.2936682792
728	0.2935270717
729	0.293412453
730	0.2933103698
731	0.2931564078
732	0.2930071335
733	0.2929502557
734	0.2928193055
735	0.2926650659
736	0.2926156073
737	0.2924944713
738	0.2924061154
739	0.2923226581
740	0.2921895993
741	0.2920574006
742	0.2919901781
743	0.2918972029
744	0.2917467369
745	0.2915683878
746	0.2913890532
747	0.2912796426
748	0.2910772965
749	0.2909366628
750	0.2907517423
751	0.2906410079
752	0.2905641462
753	0.2904066681
754	0.290264127
755	0.2901515634
756	0.290046741
757	0.2899336774
758	0.2897907282
759	0.2896993642
760	0.2895662774
761	0.2894216883
762	0.2893290262
763	0.2890677873
764	0.2889513641
765	0.2887321513
766	0.2885794177
767	0.2884696587
768	0.2882508584
769	0.2881308965
770	0.2880276301
771	0.2878701107
772	0.2878073245
773	0.2876845061
774	0.2875040963
775	0.2873114341
776	0.2872119952
777	0.2870731617
778	0.2868967462
779	0.2867672471
780	0.2866739853
781	0.2865412675
782	0.2865066691
783	0.2862981822
784	0.2861579972
785	0.2860533538
786	0.2859107764
787	0.2857775082
788	0.2857245408
789	0.2855890375
790	0.2854666176
791	0.2853585499
792	0.2851871627
793	0.2850837914
794	0.2849930673
795	0.2848271158
796	0.2847694694
797	0.2846784519
798	0.2845658833
799	0.2844744135
800	0.284356814
801	0.2841584287
802	0.2840203087
803	0.2838566219
804	0.2835967217
805	0.2834083851
806	0.2832998268
807	0.2831102136
808	0.2829823744
809	0.2829173865
810	0.2828139924
811	0.2827444486
812	0.2826872977
813	0.2825980166
814	0.282492563
815	0.2823375204
816	0.2822280796
817	0.2821260004
818	0.2820010647
819	0.2818789347
820	0.2817730674
821	0.281690196
822	0.2815096157
823	0.2813881438
824	0.2812699952
825	0.2811681464
826	0.28102087
827	0.2809194272
828	0.2808092756
829	0.2807288293
830	0.2806639528
831	0.2805610178
832	0.2803746849
833	0.2802026579
834	0.2800281548
835	0.2799068656
836	0.2798046143
837	0.2796443459
838	0.2795367308
839	0.2794548641
840	0.2793766391
841	0.2793154866
842	0.2792445544
843	0.2792002166
844	0.2790351318
845	0.2789481677
846	0.2788325457
847	0.2787392402
848	0.2785754202
849	0.2785020853
850	0.2783634932
851	0.2782824702
852	0.2782577361
853	0.2781854295
854	0.2781090685
855	0.2779419963
856	0.2778335456
857	0.2776662411
858	0.2775146759
859	0.2774157862
860	0.2772778884
861	0.2771599541
862	0.2770468265
863	0.2769080626
864	0.276831083
865	0.2767652247
866	0.2766928105
867	0.2765591813
868	0.2764540535
869	0.2763596457
870	0.2763089773
871	0.276125559
872	0.2760208345
873	0.2759483596
874	0.2758793828
875	0.2757546164
876	0.275659846
877	0.2756067021
878	0.275498528
879	0.2753559678
880	0.2752738886
881	0.2751676836
882	0.2751009144
883	0.2750670115
884	0.2749164536
885	0.2748479295
886	0.2747738178
887	0.274676158
888	0.2745379673
889	0.2743691714
890	0.2743074426
891	0.2742122187
892	0.274101931
893	0.2739178635
894	0.2737410353
895	0.2735651279
896	0.2734166759
897	0.2732637395
898	0.2731369006
899	0.2730347902
900	0.2729632524
901	0.2728494484
902	0.2727815244
903	0.2726706964
904	0.2725991666
905	0.2725131354
906	0.2723636837
907	0.2722898648
908	0.2721860705
909	0.271972756
910	0.2718768148
911	0.2717916264
912	0.271664184
913	0.2715901662
914	0.2714568406
915	0.2713288543
916	0.2712723421
917	0.2710518492
918	0.2709681347
919	0.2708543235
920	0.270761857
921	0.2706331926
922	0.2704857951
923	0.2703805286
924	0.2702653113
925	0.2701780706
926	0.270064565
927	0.2700173663
928	0.2699128818
929	0.269782423
930	0.2696428636
931	0.2695696134
932	0.2694774958
933	0.2693739191
934	0.2692027901
935	0.269119543
936	0.2689718751
937	0.2689093436
938	0.2687502224
939	0.2686540778
940	0.2685723915
941	0.268428455
942	0.2684031838
943	0.2683687343
944	0.2682516188
945	0.2681644353
946	0.2681109704
947	0.2680126329
948	0.2679450612
949	0.2678822387
950	0.2677597035
951	0.2677017178
952	0.2676168709
953	0.2675541507
954	0.2674933713
955	0.2673633141
956	0.2672699711
957	0.2671336027
958	0.2670384999
959	0.2669491921
960	0.2668536194
961	0.2667635398
962	0.2665691759
963	0.2664413526
964	0.2662564123
965	0.2661397201
966	0.2660488336
967	0.2660065698
968	0.2658887757
969	0.2657814563
970	0.2656638911
971	0.2655230534
972	0.265442399
973	0.2653770045
974	0.2652176363
975	0.2651568431
976	0.2650440146
977	0.2649678927
978	0.2648925798
979	0.2648234647
980	0.2647472539
981	0.2646381685
982	0.2645542818
983	0.2644891061
984	0.2643412577
985	0.264286045
986	0.2641944303
987	0.2640662969
988	0.2639565934
989	0.2637788278
990	0.2636909863
991	0.263612223
992	0.2634721094
993	0.2633396009
994	0.2631932656
995	0.2630888942
996	0.2629655214
997	0.2628367281
998	0.2627221733
999	0.2626008665
